1	Coming	_	VBG	_	0	ROOT
2	home	_	RB	_	1	advmod
3	from	_	IN	_	6	case
4	very	_	RB	_	5	advmod
5	lonely	_	JJ	_	6	amod
6	places	_	NNS	_	1	obl
7	,	_	,	_	1	punct
8	all	_	DT	_	11	nsubj
9	of	_	IN	_	10	case
10	us	_	PRP	_	8	nmod
11	go	_	VB	_	1	parataxis
12	a	_	DT	_	13	det
13	little	_	JJ	_	14	obl:npmod
14	mad	_	JJ	_	11	xcomp
15	:	_	:	_	14	punct
16	whether	_	IN	_	34	mark
17	from	_	IN	_	20	case
18	great	_	JJ	_	20	amod
19	personal	_	JJ	_	20	amod
20	success	_	NN	_	34	obl
21	,	_	,	_	20	punct
22	or	_	CC	_	28	cc
23	just	_	RB	_	28	advmod
24	an	_	DT	_	28	det
25	all	_	DT	_	27	det
26	-	_	HYPH	_	27	punct
27	night	_	NN	_	28	compound
28	drive	_	NN	_	20	conj
29	,	_	,	_	34	punct
30	we	_	PRP	_	34	nsubj
31	are	_	VBP	_	34	cop
32	the	_	DT	_	34	det
33	sole	_	JJ	_	34	amod
34	survivors	_	NNS	_	43	dep
35	of	_	IN	_	37	case
36	a	_	DT	_	37	det
37	world	_	NN	_	34	nmod
38	no	_	DT	_	39	det
39	one	_	NN	_	43	nsubj
40	else	_	RB	_	39	advmod
41	has	_	VBZ	_	43	aux
42	ever	_	RB	_	43	advmod
43	seen	_	VBN	_	14	parataxis
44	.	_	.	_	1	punct

